region,code,countryname,year,survname,ref_year,cpi_domain,cpi_domain_value,cpi2021_unadj,cpi2017_unadj,cpi2011_unadj,cpi2011,cpi2017,cpi2021,version,comparability,cur_adj,survey_coverage,cpi_replication,cpi_domain_var,comparable,cpi2005,cpi_data_level,ref_year_SM25,cpi2011_SM25,cpi2017_SM25,cpi2021_SM25,change_cpi2021,change_icp2021,change_cpi2017,change_icp2017,change_cpi2011,change_icp2011,cpi_id
LAC,ARG,Argentina,1992,EPH,1992,National,1,.00893044,.03880753,.18779205,.187792053669623,.0388075260133433,.00893043779249633,14-Dec-25,1,1,U,,,,,2,1992,.18779205,.03880753,.00893044,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,1993,EPH,1993,National,1,.0097227,.04225033,.20445201,.204452011550259,.0422503327572932,.00972270090784824,14-Dec-25,1,1,U,,,,,2,1993,.20445201,.04225033,.0097227,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,1994,EPH,1994,National,1,.01008178,.04381074,.21200292,.212002920755054,.0438107401316383,.0100817838595095,14-Dec-25,1,1,U,,,,,2,1994,.21200292,.04381074,.01008178,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,1995,EPH,1995,National,1,.01030047,.04476106,.21660157,.2166015689825,.0447610580882584,.0103004722497916,14-Dec-25,1,1,U,,,,,2,1995,.21660157,.04476106,.01030047,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,1996,EPH,1996,National,1,.01032155,.04485267,.2170449,.217044897874642,.0448526727076104,.0103215547238128,14-Dec-25,1,1,U,,,,,2,1996,.2170449,.04485267,.01032155,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,1997,EPH,1997,National,1,.01038048,.04510874,.21828403,.218284032074402,.0451087417571338,.0103804816627928,14-Dec-25,1,1,U,,,,,2,1997,.21828403,.04510874,.01038048,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,1998,EPH,1998,National,1,.01049531,.04560771,.22069859,.220698586762821,.0456077133166349,.0104953056397404,14-Dec-25,2,1,U,,,,,2,1998,.22069859,.04560771,.01049531,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,1999,EPH,1999,National,1,.0102823,.04468209,.21621946,.216219458282789,.0446820943055571,.0102823010025692,14-Dec-25,2,1,U,,,,,2,1999,.21621946,.04468209,.0102823,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2000,EPH,2000,National,1,.01021046,.04436992,.21470881,.214708811651477,.0443699167810238,.0102104623091647,14-Dec-25,2,1,U,,,,,2,2000,.21470881,.04436992,.01021046,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2001,EPH,2001,National,1,.01009497,.04386806,.2122803,.212280297655485,.0438680605084521,.0100949744983356,14-Dec-25,2,1,U,,,,,2,2001,.2122803,.04386806,.01009497,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2002,EPH,2002,National,1,.01398029,.06075184,.29398196,.293981956900895,.0607518380940446,.013980291108795,14-Dec-25,2,1,U,,,,,2,2002,.29398196,.06075184,.01398029,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2003,EPHC-S2,2003,National,1,.01453016,.0631413,.30554472,.305544724311318,.0631413023354637,.0145301576928708,14-Dec-25,3,1,U,,,,,2,2003,.30554472,.0631413,.01453016,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2004,EPHC-S2,2004,National,1,.01533832,.0666532,.322539,.322538998510092,.0666531960772887,.0153383191970193,14-Dec-25,3,1,U,,,,,2,2004,.322539,.0666532,.01533832,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2005,EPHC-S2,2005,National,1,.01698997,.0738305,.35727042,.35727042122442,.0738304997178246,.0169899695407599,14-Dec-25,3,1,U,,,,,2,2005,.35727042,.0738305,.01698997,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2006,EPHC-S2,2006,National,1,.01874828,.08147132,.39424482,.394244821320447,.0814713181950467,.0187482845147968,14-Dec-25,3,1,U,,,,,2,2006,.39424482,.08147132,.01874828,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2007,EPHC-S2,2007,National,1,.02295376,.09974637,.48267893,.482678927233088,.0997463665722758,.0229537621489957,14-Dec-25,3,1,U,,,,,2,2007,.48267893,.09974637,.02295376,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2008,EPHC-S2,2008,National,1,.02880712,.12518232,.60576511,.605765113963267,.125182322461113,.028807117028661,14-Dec-25,3,1,U,,,,,2,2008,.60576511,.12518232,.02880712,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2009,EPHC-S2,2009,National,1,.03283107,.14266857,.69038215,.690382152499649,.14266856780539,.0328310742945198,14-Dec-25,3,1,U,,,,,2,2009,.69038215,.14266857,.03283107,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2010,EPHC-S2,2010,National,1,.04090078,.17773577,.86007452,.860074521178593,.177735765181906,.0409007828510635,14-Dec-25,3,1,U,,,,,2,2010,.86007452,.17773577,.04090078,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2011,EPHC-S2,2011,National,1,.04976586,.21625924,1.0464921,1.04649205356148,.216259244189275,.0497658553812616,14-Dec-25,3,1,U,,,,,2,2011,1.0464921,.21625924,.04976586,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2012,EPHC-S2,2012,National,1,.06237705,.27106163,1.3116842,1.311684230543,.271061628558801,.0623770505479995,14-Dec-25,3,1,U,,,,,2,2012,1.3116842,.27106163,.06237705,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2013,EPHC-S2,2013,National,1,.07902741,.34341633,1.6618132,1.6618131739928,.343416330557305,.07902740761972,14-Dec-25,3,1,U,,,,,2,2013,1.6618132,.34341633,.07902741,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2014,EPHC-S2,2014,National,1,.11091443,.48198248,2.3323435,2.33234348585195,.48198248397926,.110914429040637,14-Dec-25,3,1,U,,,,,2,2014,2.3323435,.48198248,.11091443,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2016,EPHC-S2,2016,National,1,.1966194,.85441638,4.1345745,4.13457446290823,.854416376454862,.196619395325451,14-Dec-25,3,1,U,,,,,2,2016,4.1345745,.85441638,.1966194,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2017,EPHC-S2,2017,National,1,.24186266,1.0510225,5.085964,5.08596404672975,1.05102254429587,.241862659503681,14-Dec-25,3,1,U,,,,,2,2017,5.085964,1.0510225,.24186266,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2018,EPHC-S2,2018,National,1,.34236049,1.4877394,7.1992641,7.19926408818032,1.48773935275505,.342360493082179,14-Dec-25,3,1,U,,,,,2,2018,7.1992641,1.4877394,.34236049,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2019,EPHC-S2,2019,National,1,.52407935,2.2774049,11.020505,11.0205054273788,2.27740494177456,.524079353933784,14-Dec-25,3,1,U,,,,,2,2019,11.020505,2.2774049,.52407935,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2020,EPHC-S2,2020,National,1,.72314238,3.1424402,15.206465,15.2064653232291,3.14244019952201,.723142379878119,14-Dec-25,3,1,U,,,,,2,2020,15.206465,3.1424402,.72314238,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2021,EPHC-S2,2021,National,1,1.096529,4.7650047,23.058157,23.0581566485317,4.76500467656576,1.09652900394612,14-Dec-25,3,1,U,,,,,2,2021,23.058157,4.7650047,1.096529,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2022,EPHC-S2,2022,National,1,2.0292574,8.8182082,42.671863,42.6718626692783,8.81820816278609,2.02925740259679,14-Dec-25,3,1,U,,,,,2,2022,42.671863,8.8182082,2.0292574,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2023,EPHC-S2,2023,National,1,5.1006254,22.164944,107.25755,107.257553581489,22.1649437204835,5.10062535297667,14-Dec-25,3,1,U,,,,,2,2023,107.25755,22.164944,5.1006254,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,2024,EPHC-S2,2024,National,1,14.64764,63.651824,308.01517,308.015169758905,63.6518238090744,14.6476395509064,14-Dec-25,3,1,U,,,,,2,,,,,1,1,1,1,1,1,CPI_v13_M_v01_A
ECA,ARM,Armenia,1996,ILCS,1996,National,1,.37509083,.42318765,.48827802,.488278019223663,.423187647871867,.375090825208472,14-Dec-25,0,1,N,,,,,2,1996,.48827802,.42318765,.37509083,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,1999,ILCS,1999,National,1,.46753872,.52748987,.60862294,.608622937281917,.527489870788596,.467538719332167,14-Dec-25,1,1,N,,,,,2,1999,.60862294,.52748987,.46753872,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,2001,ILCS,2001,National,1,.47843306,.53978116,.62280475,.62280475087637,.539781164070928,.478433062216071,14-Dec-25,1,1,N,,,,,2,2001,.62280475,.53978116,.47843306,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,2002,ILCS,2002,National,1,.48350468,.5455031,.62940678,.629406781138522,.545503104334102,.483504683058269,14-Dec-25,1,1,N,,,,,2,2002,.62940678,.5455031,.48350468,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,2003,ILCS,2003,National,1,.50633362,.57125933,.65912456,.659124563728366,.571259329310518,.50633361894343,14-Dec-25,1,1,N,,,,,2,2003,.65912456,.57125933,.50633362,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,2004,ILCS,2004,National,1,.54156264,.61100567,.70498427,.704984272746898,.611005665675398,.541562638932761,14-Dec-25,1,1,N,,,,,2,2004,.70498427,.61100567,.54156264,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,2005,ILCS,2005,National,1,.54503488,.61492314,.70950429,.709504289966011,.614923137648308,.545034875900072,14-Dec-25,1,1,N,,,,,2,2005,.70950429,.61492314,.54503488,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,2006,ILCS,2006,National,1,.56077735,.63268422,.7299972,.729997203382419,.632684223515987,.560777349453372,14-Dec-25,1,1,N,,,,,2,2006,.7299972,.63268422,.56077735,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,2007,ILCS,2007,National,1,.58552237,.66060222,.76220926,.762209262686587,.660602223248421,.585522366493613,14-Dec-25,1,1,N,,,,,2,2007,.76220926,.66060222,.58552237,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,2008,ILCS,2008,National,1,.63792637,.71972585,.83042667,.830426674827366,.719725847600101,.637926374878333,14-Dec-25,1,1,N,,,,,2,2008,.83042667,.71972585,.63792637,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,2009,ILCS,2009,National,1,.65965452,.74424013,.85871149,.858711492113836,.744240130092231,.65965451958106,14-Dec-25,1,1,N,,,,,2,2009,.85871149,.74424013,.65965452,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,2010,ILCS,2010,National,1,.71360058,.80510354,.92893629,.928936288855869,.805103542708657,.713600582936414,14-Dec-25,1,1,N,,,,,2,2010,.92893629,.80510354,.71360058,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,2011,ILCS,2011,National,1,.76819109,.86669404,1,1,.8666940374353,.768191092863134,14-Dec-25,1,1,N,,,,,2,2011,1,.86669404,.76819109,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,2012,ILCS,2012,National,1,.78784157,.88886424,1.0255802,1.02558019183974,.888864237179258,.787841568388156,14-Dec-25,1,1,N,,,,,2,2012,1.0255802,.88886424,.78784157,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,2013,ILCS,2013,National,1,.83345496,.9403265,1.0849579,1.08495785442025,.940326503294627,.833454959897533,14-Dec-25,1,1,N,,,,,2,2013,1.0849579,.9403265,.83345496,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,2014,ILCS,2014,National,1,.85830282,.96836053,1.1173038,1.11730379133746,.968360533956031,.858302820527646,14-Dec-25,1,1,N,,,,,2,2014,1.1173038,.96836053,.85830282,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,2015,ILCS,2015,National,1,.89033204,1.0044968,1.1589981,1.15899812769784,1.00449676667439,.890332038342529,14-Dec-25,1,1,N,,,,,2,2015,1.1589981,1.0044968,.89033204,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,2016,ILCS,2016,National,1,.87783526,.99039757,1.1427303,1.14273033221634,.990397565328361,.877835262753122,14-Dec-25,1,1,N,,,,,2,2016,1.1427303,.99039757,.87783526,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,2017,ILCS,2017,National,1,.88634635,1,1.1538097,1.15380971462452,1,.886346345633514,14-Dec-25,1,1,N,,,,,2,2017,1.1538097,1,.88634635,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,2018,ILCS,2018,National,1,.90868437,1.0252024,1.1828884,1.18288844245694,1.02520236002855,.908684365346164,14-Dec-25,1,1,N,,,,,2,2018,1.1828884,1.0252024,.90868437,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,2019,ILCS,2019,National,1,.92180076,1.0400006,1.1999628,1.19996283461076,1.0400006339011,.921800761314782,14-Dec-25,2,1,N,,,,,2,2019,1.1999628,1.0400006,.92180076,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,2020,ILCS,2020,National,1,.93296776,1.0525995,1.2144996,1.21449957625503,1.05259954120793,.932967756765165,14-Dec-25,2,1,N,,,,,2,2020,1.2144996,1.0525995,.93296776,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,2021,ILCS,2021,National,1,1,1.1282271,1.3017594,1.30175943107188,1.12822713708517,1,14-Dec-25,2,1,N,,,,,2,2021,1.3017594,1.1282271,1,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,2022,ILCS,2022,National,1,1.0864091,1.2257162,1.4142433,1.4142432739788,1.2257162130404,1.08640908621211,14-Dec-25,2,1,N,,,,,2,2022,1.4142433,1.2257162,1.0864091,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ARM,Armenia,2023,ILCS,2023,National,1,1.1079246,1.2499906,1.4422513,1.44225126439574,1.24999057133531,1.1079245749794,14-Dec-25,2,1,N,,,,,2,2023,1.4422513,1.2499906,1.1079246,0,0,0,0,0,0,CPI_v13_M_v01_A
EAP,AUS,Australia,1981,IHS-LIS,1981,National,1,.24157421,.25950079,.2906069,.290606900025183,.259500787047447,.241574209755077,14-Dec-25,0,1,N,,,,,2,1981,.2906069,.25950079,.24157421,0,0,0,0,0,0,CPI_v13_M_v01_A
EAP,AUS,Australia,1985,IDS-LIS,1985,National,1,.32844882,.35282213,.39511458,.39511458071015,.352822127276815,.32844881724932,14-Dec-25,1,1,N,,,,,2,1985,.39511458,.35282213,.32844882,0,0,0,0,0,0,CPI_v13_M_v01_A
EAP,AUS,Australia,1989,SIHCA-LIS,1989,National,1,.44818924,.48144817,.5391589,.53915890203979,.481448167303799,.448189240108856,14-Dec-25,2,1,N,,,,,2,1989,.5391589,.48144817,.44818924,0,0,0,0,0,0,CPI_v13_M_v01_A
EAP,AUS,Australia,1995,SIH-LIS,1995,National,1,.54427465,.58466382,.65474692,.654746915134729,.584663818304473,.544274649361525,14-Dec-25,3,1,N,,,,,2,1995,.65474692,.58466382,.54427465,0,0,0,0,0,0,CPI_v13_M_v01_A
EAP,AUS,Australia,2001,SIH-LIS,2001,National,1,.62486916,.67123904,.75169982,.751699823721987,.671239037553405,.624869164747751,14-Dec-25,3,1,N,,,,,2,2001,.75169982,.67123904,.62486916,0,0,0,0,0,0,CPI_v13_M_v01_A
EAP,AUS,Australia,2003,SIH-LIS,2003,National,1,.66108436,.71014167,.79526568,.795265676152106,.710141668540587,.661084362570653,14-Dec-25,3,1,N,,,,,2,2003,.79526568,.71014167,.66108436,0,0,0,0,0,0,CPI_v13_M_v01_A
EAP,AUS,Australia,2004,SIH-HES-LIS,2004,National,1,.67657526,.7267821,.81390078,.813900780659786,.726782100292329,.676575256437096,14-Dec-25,3,1,N,,,,,2,2004,.81390078,.7267821,.67657526,0,0,0,0,0,0,CPI_v13_M_v01_A
EAP,AUS,Australia,2008,SIH-LIS,2008,National,1,.7682646,.82527547,.92420045,.92420045328633,.825275466606699,.768264601214153,14-Dec-25,3,1,N,,,,,2,2008,.92420045,.82527547,.7682646,0,0,0,0,0,0,CPI_v13_M_v01_A
EAP,AUS,Australia,2010,SIH-HES-LIS,2010,National,1,.80468914,.86440297,.96801813,.968018131453038,.864402968293229,.804689135440655,14-Dec-25,3,1,N,,,,,2,2010,.96801813,.86440297,.80468914,0,0,0,0,0,0,CPI_v13_M_v01_A
EAP,AUS,Australia,2014,SIH-LIS,2014,National,1,.88821436,.95412638,1.0684966,1.06849660035256,.954126377333028,.888214360477287,14-Dec-25,3,1,N,,,,,2,2014,1.0684966,.95412638,.88821436,0,0,0,0,0,0,CPI_v13_M_v01_A
EAP,AUS,Australia,2016,SIH-HES-LIS,2016,National,1,.91312539,.98088599,1.0984639,1.0984638630068,.980885990555425,.913125392505756,14-Dec-25,3,1,N,,,,,2,2016,1.0984639,.98088599,.91312539,0,0,0,0,0,0,CPI_v13_M_v01_A
EAP,AUS,Australia,2018,SIH-LIS,2018,National,1,.94871258,1.019114,1.1412742,1.14127423822715,1.01911400944457,.948712581117859,14-Dec-25,3,1,N,,,,,2,2018,1.1412742,1.019114,.94871258,0,0,0,0,0,0,CPI_v13_M_v01_A
EAP,AUS,Australia,2020,SIH-LIS,2020,National,1,.97215826,1.0442995,1.1694787,1.16947872072526,1.04429952777153,.972158258321125,14-Dec-25,3,1,N,,,,,2,,,,,1,1,1,1,1,1,CPI_v13_M_v01_A
ECA,AUT,Austria,1994,ECHP-LIS,1994,National,1,.6127537,.66113505,.72970973,10.0408058839506,9.0972183298093,8.43149097129401,14-Dec-25,1,.07267442,N,,,,,2,1994,10.040806,9.0972183,8.431491,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,AUT,Austria,1995,ECHP-LIS,1995,National,1,.62649998,.6759667,.74607975,10.2660573723744,9.30130174631884,8.62063972218774,14-Dec-25,1,.07267442,N,,,,,2,1995,10.266057,9.3013017,8.6206397,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,AUT,Austria,1996,ECHP-LIS,1996,National,1,.63815898,.68854626,.7599641,10.4571059890106,9.47439651552712,8.78106755087639,14-Dec-25,1,.07267442,N,,,,,2,1996,10.457106,9.4743965,8.7810676,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,AUT,Austria,1997,ECHP-LIS,1997,National,1,.6464932,.69753852,.76988907,10.5936735401938,9.59813009271609,8.89574640116805,14-Dec-25,1,.07267442,N,,,,,2,1997,10.593674,9.5981301,8.8957464,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,AUT,Austria,1998,ECHP-LIS,1998,National,1,.65245692,.70397313,.77699109,10.6913973378153,9.68667026899834,8.97780727624613,14-Dec-25,1,.07267442,N,,,,,2,1998,10.691397,9.6866703,8.9778073,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,AUT,Austria,1999,ECHP-LIS,1999,National,1,.65616931,.70797864,.78141206,10.7522298860118,9.74178606138571,9.0288897378341,14-Dec-25,1,.07267442,N,,,,,2,1999,10.75223,9.7417861,9.0288897,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,AUT,Austria,2000,ECHP-LIS,2000,National,1,.67155559,.72457977,.7997351,11.0043549868115,9.97021763499742,9.24060486663941,14-Dec-25,1,.07267442,N,,,,,2,2000,11.004355,9.9702176,9.2406049,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,AUT,Austria,2003,EU-SILC,2003,National,1,.71134527,.76751114,.84711943,.847119426023633,.767511139945232,.711345271950997,14-Dec-25,2,1,N,,,,,2,2003,.84711943,.76751114,.71134527,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,AUT,Austria,2004,EU-SILC,2004,National,1,.72600756,.78333113,.8645803,.864580304046859,.783331127050187,.726007564709691,14-Dec-25,2,1,N,,,,,2,2004,.8645803,.78333113,.72600756,0,0,0,0,0,0,CPI_v13_M_v01_A
